StockCode,SignalType,EntryDate,EntryPrice,StopLoss,Target1,Target2,ExitDate,Outcome,Return%,MaxProfit%,DaysToTarget,HitT1,HitT2,HitSL
BTPS,BUY - REVERSAL,2026-01-14,1165.0,1130.0,1200.0,1223.0,2026-01-15,WIN-T2,4.98,5.15,1,True,True,False
JPFA,BUY - REVERSAL,2026-01-14,2610.0,2532.0,2688.0,2740.0,2026-01-15,WIN-T2,4.98,5.36,1,True,True,False
