Date,StockCode,StockName,EntrySignal,SignalGrade,SignalStrength,SignalReason,EntryPrice,StopLoss,Target1,Target2,RiskReward,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2026-02-20,AADI,Adaro Andalan Indonesia Tbk.,BUY - AKUMULASI,B,61,NonReg 11.5% | Avg Rp18jt | Above MA Stack,9325.0,9045.0,9605.0,9884.0,2.0,LOSS,9045.0,-3.0026809651474533,STOP_LOSS,1.043243395306385,Trending Up
2026-02-20,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - AKUMULASI,B,59,NonReg 10.8% | Avg Rp17jt | Asing: NET BUY | Bullish Pin Bar + Above MA Stack,3480.0,3376.0,3584.0,3689.0,2.0,WIN,3550.0,2.0114942528735633,CLOSE,0.6924835324595267,Trending Up
2026-02-20,ISAT,Indosat Tbk.,BUY - AKUMULASI,B,51,NonReg 79.5% | Avg Rp11jt | Asing: NET BUY | Above MA Stack + Tweezer Bottom,2260.0,2192.0,2328.0,2396.0,2.0,WIN,2328.0,3.0088495575221237,TARGET1,0.6026317902597663,Trending Up
2026-02-20,ASII,Astra International Tbk.,BUY - AKUMULASI,B,50,NonReg 13.3% | Avg Rp25jt | Asing: NET BUY,6550.0,6354.0,6746.0,6943.0,2.0,WIN,6625.0,1.1450381679389312,CLOSE,0.7837054741938473,Trending Up
2026-02-20,MSIN,MNC Digital Entertainment Tbk.,BUY - AKUMULASI,C,35,NonReg 127.0% | Avg Rp6jt | Asing: NET BUY | Above MA Stack,510.0,495.0,525.0,541.0,2.0,LOSS,495.0,-2.941176470588235,STOP_LOSS,0.5550136622920739,Trending Up
2026-02-20,BBTN,Bank Tabungan Negara (Persero) Tbk.,BUY - AKUMULASI,B,46,NonReg 79.6% | Avg Rp7jt | Asing: NET BUY | Above MA Stack,1365.0,1324.0,1406.0,1447.0,2.0,WIN,1380.0,1.098901098901099,CLOSE,0.2753074124423752,Trending Up
2026-02-20,AMRT,Sumber Alfaria Trijaya Tbk.,BUY - REVERSAL,A,78,Dip -4.5% | Pos 4/100 | Vol 3.1x | Volume Climax,1815.0,1724.0,1869.0,1924.0,1.2,LOSS,1800.0,-0.8264462809917356,CLOSE,3.085889189358607,Sideways
2026-02-23,NSSS,Nusantara Sawit Sejahtera Tbk.,BUY - AKUMULASI,B,55,NonReg 34.4% | Avg Rp6jt | Asing: NET BUY | Above MA Stack,1190.0,1154.0,1226.0,1261.0,2.0,LOSS,1154.0,-3.0252100840336134,STOP_LOSS,0.8995334628643765,Trending Up
2026-02-23,BRPT,Barito Pacific Tbk.,BUY - AKUMULASI,C,33,NonReg 6.1% | Avg Rp10jt | Asing: NET BUY | EMA5 Breakout,2140.0,2076.0,2204.0,2268.0,2.0,LOSS,2076.0,-2.990654205607477,STOP_LOSS,0.774990615563448,Trending Up
2026-02-23,SAME,Sarana Meditama Metropolitan Tbk.,BUY - REVERSAL,C,40,Dip -2.2% | Pos 83/100 | Vol 2.2x | Volume Surge 2x + Above MA Stack,356.0,338.0,367.0,377.0,1.2,LOSS,344.0,-3.3707865168539324,CLOSE,2.158646581290595,Trending Up
2026-02-23,MSJA,Multi Spunindo Jaya Tbk.,BUY - AKUMULASI,C,32,NonReg 153.9% | Avg Rp6jt | Asing: NET BUY | Bullish Pin Bar,406.0,394.0,418.0,430.0,2.0,WIN,430.0,5.911330049261084,TARGET2,0.6939717210019067,Sideways
2026-02-23,GPSO,Geoprima Solusi Tbk.,BUY - REVERSAL,A,71,Dip -3.3% | Pos 19/100 | Vol 3.0x | Volume Climax,466.0,443.0,480.0,494.0,1.2,LOSS,456.0,-2.1459227467811157,CLOSE,3.001731065425568,Trending Up
2026-02-23,BBTN,Bank Tabungan Negara (Persero) Tbk.,BUY - AKUMULASI,B,45,NonReg 74.9% | Avg Rp6jt | Asing: NET BUY | Above MA Stack + Bullish Engulfing,1380.0,1339.0,1421.0,1463.0,2.0,WIN,1380.0,0.0,CLOSE,0.29765773605789986,Trending Up
2026-02-23,SMRA,Summarecon Agung Tbk.,BUY - AKUMULASI,B,46,NonReg 3.7% | Avg Rp6jt | Asing: NET BUY,390.0,378.0,402.0,413.0,2.0,LOSS,384.0,-1.5384615384615385,CLOSE,1.2438454095012974,Sideways
2026-02-23,MSIN,MNC Digital Entertainment Tbk.,BUY - AKUMULASI,C,37,NonReg 5.1% | Avg Rp7jt | Asing: NET BUY | Above MA Stack,510.0,495.0,525.0,541.0,2.0,LOSS,495.0,-2.941176470588235,STOP_LOSS,0.8360550690934797,Trending Up
2026-02-24,ASII,Astra International Tbk.,BUY - AKUMULASI,B,68,NonReg 14.7% | Avg Rp22jt | Asing: NET BUY,6550.0,6354.0,6746.0,6943.0,2.0,WIN,6650.0,1.5267175572519083,CLOSE,1.5105737728365727,Trending Down
2026-02-24,PGAS,Perusahaan Gas Negara (Persero) Tbk.,BUY - AKUMULASI,B,45,NonReg 15.2% | Avg Rp6jt | Asing: NET BUY | Golden Cross (EMA5/10) + Above MA Stack,2250.0,2182.0,2318.0,2385.0,2.0,WIN,2318.0,3.022222222222222,TARGET1,1.0463642151192132,Trending Up
2026-02-24,MEDC,Medco Energi Internasional Tbk.,BUY - AKUMULASI,B,49,NonReg 587.0% | Avg Rp11jt | Asing: NET BUY,1685.0,1634.0,1736.0,1786.0,2.0,WIN,1736.0,3.0267062314540056,TARGET1,0.8405697045966648,Trending Up
2026-02-24,BRMS,Bumi Resources Minerals Tbk.,BUY - REVERSAL,A,76,Dip -4.7% | Pos 0/100 | Vol 1.3x,1010.0,960.0,1040.0,1071.0,1.2,LOSS,980.0,-2.9702970297029703,CLOSE,1.336355058591025,Sideways
2026-02-24,NSSS,Nusantara Sawit Sejahtera Tbk.,BUY - AKUMULASI,B,45,NonReg 18.8% | Avg Rp6jt | Asing: NET BUY | Above MA Stack,1150.0,1116.0,1184.0,1219.0,2.0,LOSS,1116.0,-2.9565217391304346,STOP_LOSS,0.7802678582628657,Trending Up
2026-02-24,JSMR,Jasa Marga (Persero) Tbk.,BUY - REVERSAL,B,49,Dip -1.3% | Pos 15/100,3740.0,3701.0,3852.0,3964.0,5.68,WIN,3780.0,1.06951871657754,CLOSE,0.8840714557023523,Trending Up
2026-02-25,SUPA,Super Bank Indonesia Tbk.,BUY - AKUMULASI,B,45,NonReg 403.2% | Avg Rp6jt | Asing: NET BUY | Above MA Stack + EMA5 Breakout,1060.0,1028.0,1092.0,1124.0,2.0,LOSS,1028.0,-3.018867924528302,STOP_LOSS,0.7522288434403218,Trending Up
2026-02-25,MDKA,Merdeka Copper Gold Tbk.,BUY - AKUMULASI,B,69,NonReg 20.4% | Avg Rp17jt | Asing: NET BUY | Above MA Stack,3820.0,3705.0,3935.0,4049.0,2.0,LOSS,3705.0,-3.0104712041884816,STOP_LOSS,1.1669904565251983,Trending Up
2026-02-25,IMPC,Impack Pratama Industri Tbk.,BUY - AKUMULASI,C,44,NonReg 2120.3% | Avg Rp8jt | Asing: NET BUY,2220.0,2153.0,2287.0,2353.0,2.0,LOSS,2153.0,-3.0180180180180183,STOP_LOSS,0.45902569371509677,Trending Up
2026-02-25,BBTN,Bank Tabungan Negara (Persero) Tbk.,BUY - AKUMULASI,B,62,NonReg 18.8% | Avg Rp11jt | Asing: NET BUY | Above MA Stack,1395.0,1353.0,1437.0,1479.0,2.0,WIN,1405.0,0.7168458781362007,CLOSE,1.1484987308232961,Trending Up
2026-02-25,MEDC,Medco Energi Internasional Tbk.,BUY - AKUMULASI,C,43,NonReg 5.0% | Avg Rp13jt | Asing: NET BUY | Above MA Stack + EMA5 Breakout,1730.0,1678.0,1782.0,1834.0,2.0,LOSS,1678.0,-3.005780346820809,STOP_LOSS,0.5945362611852263,Trending Up
2026-02-25,AMMN,Amman Mineral Internasional Tbk.,BUY - REVERSAL,B,52,Dip -2.0% | Pos 0/100,7300.0,6982.0,7519.0,7738.0,1.38,WIN,7300.0,0.0,CLOSE,0.860704880730192,Sideways
2026-02-25,IRSX,Folago Global Nusantara Tbk.,BUY - AKUMULASI,C,37,NonReg 3.4% | Avg Rp6jt | Asing: NET BUY | Above MA Stack,635.0,616.0,654.0,673.0,2.0,LOSS,616.0,-2.9921259842519685,STOP_LOSS,0.9406600219371453,Trending Up
2026-02-25,JSMR,Jasa Marga (Persero) Tbk.,BUY - AKUMULASI,C,41,NonReg 17.7% | Avg Rp5jt | Asing: NET BUY | EMA5 Breakout,3780.0,3667.0,3893.0,4007.0,2.0,LOSS,3730.0,-1.3227513227513228,CLOSE,0.4767061797900762,Sideways
2026-02-26,BMRI,Bank Mandiri (Persero) Tbk.,BUY - AKUMULASI,B,63,NonReg 50.4% | Avg Rp25jt | Asing: NET BUY | Hammer + Bullish Pin Bar,5325.0,5165.0,5485.0,5644.0,2.0,LOSS,5275.0,-0.9389671361502347,CLOSE,0.7857656492120778,Trending Up
2026-02-26,ASII,Astra International Tbk.,BUY - AKUMULASI,B,59,NonReg 38.2% | Avg Rp19jt | Asing: NET BUY | Hammer + Bullish Pin Bar,6725.0,6523.0,6927.0,7128.0,2.0,LOSS,6675.0,-0.7434944237918215,CLOSE,0.8112633375213307,Sideways
2026-02-26,ISAT,Indosat Tbk.,BUY - AKUMULASI,B,51,NonReg 42.6% | Avg Rp11jt | Asing: NET BUY | Above MA Stack,2320.0,2250.0,2390.0,2459.0,2.0,LOSS,2310.0,-0.43103448275862066,CLOSE,1.1124462166464404,Trending Up
2026-02-26,MTEL,Dayamitra Telekomunikasi Tbk.,BUY - REVERSAL,B,64,Dip -1.8% | Pos 0/100 | Vol 2.7x | Volume Surge 2x,535.0,510.0,551.0,567.0,1.31,LOSS,525.0,-1.8691588785046727,CLOSE,2.735335650948259,Sideways
2026-02-26,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,BUY - AKUMULASI,B,53,NonReg 11.1% | Avg Rp22jt | Asing: NET BUY | Above MA Stack,3950.0,3832.0,4068.0,4187.0,2.0,LOSS,3910.0,-1.0126582278481013,CLOSE,0.8033599558268774,Trending Up
2026-02-27,ISAT,Indosat Tbk.,BUY - AKUMULASI,B,59,NonReg 246.0% | Avg Rp20jt | Asing: NET BUY,2310.0,2241.0,2379.0,2449.0,2.0,LOSS,2241.0,-2.987012987012987,STOP_LOSS,0.8442626787055545,Trending Up
2026-02-27,TRIN,Perintis Triniti Properti Tbk.,BUY - AKUMULASI,C,32,NonReg 34.3% | Avg Rp6jt | Asing: NET BUY | Hammer + Bullish Pin Bar,1020.0,989.0,1051.0,1081.0,2.0,LOSS,989.0,-3.0392156862745097,STOP_LOSS,0.4965666366060562,Sideways
2026-02-27,UNTR,United Tractors Tbk.,BUY - AKUMULASI,A,70,NonReg 10.4% | Avg Rp21jt | Asing: NET BUY | Volume Surge 2x,28600.0,27742.0,29458.0,30316.0,2.0,WIN,28700.0,0.34965034965034963,CLOSE,2.0386131420267963,Trending Up
2026-02-27,BRIS,Bank Syariah Indonesia Tbk.,BUY - AKUMULASI,C,33,NonReg 25.2% | Avg Rp6jt | Asing: NET BUY | Tweezer Bottom,2360.0,2289.0,2431.0,2502.0,2.0,LOSS,2289.0,-3.0084745762711864,STOP_LOSS,0.6645661628172134,Sideways
2026-02-27,AVIA,Avia Avian Tbk.,BUY - REVERSAL,C,26,Dip -1.8% | Pos 57/100 | Vol 1.3x | Golden Cross (EMA5/10) + Above MA Stack,440.0,428.0,453.0,466.0,2.24,LOSS,428.0,-2.727272727272727,STOP_LOSS,1.2671748508604979,Sideways
