StockCode,SignalType,EntryDate,EntryPrice,StopLoss,Target1,Target2,ExitDate,Outcome,Return%,MaxProfit%,DaysToTarget,HitT1,HitT2,HitSL
TPIA,BUY - REVERSAL,2026-01-12,6500.0,6305.0,6695.0,6825.0,2026-01-13,WIN-T1,3.0,3.08,1,True,False,False
CUAN,BUY - REVERSAL,2026-01-12,1915.0,1858.0,1972.0,2011.0,2026-01-13,LOSS,-3.13,0.0,0,False,False,True
