Date,StockCode,StockName,EntrySignal,SignalStrength,EntryPrice,StopLoss,Target1,Target2,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2026-02-25,MSIN,MNC Digital Entertainment Tbk.,BUY - RISKY BOUNCE,70,515.0,489.0,528.0,536.0,WIN,536.0,4.077669902912621,TARGET2,1.0,Unknown
2026-02-25,RISE,Jaya Sukses Makmur Sentosa Tbk.,BUY - RISKY BOUNCE,69,3240.0,3078.0,3321.0,3370.0,LOSS,3078.0,-5.0,STOP_LOSS,1.0,Unknown
2026-02-27,ENRG,Energi Mega Persada Tbk.,BUY - RISKY BOUNCE,69,1760.0,1672.0,1804.0,1830.0,LOSS,1672.0,-5.0,STOP_LOSS,1.0,Unknown
2026-02-27,GGRM,Gudang Garam Tbk.,BUY - RISKY BOUNCE,70,17300.0,16435.0,17732.0,17992.0,WIN,17992.0,4.0,TARGET2,1.0,Unknown
2026-02-27,NSSS,Nusantara Sawit Sejahtera Tbk.,BUY - RISKY BOUNCE,70,1115.0,1059.0,1143.0,1160.0,NO_DATA,1115.0,0.0,NO_NEXT_DAY,1.0,Unknown
2026-02-27,RATU,Raharja Energi Cepu Tbk.,BUY - RISKY BOUNCE,70,7200.0,6840.0,7380.0,7488.0,NO_DATA,7200.0,0.0,NO_NEXT_DAY,1.0,Unknown
2026-02-27,TIRT,Tirta Mahakam Resources Tbk,BUY - RISKY BOUNCE,70,1000.0,950.0,1025.0,1040.0,LOSS,950.0,-5.0,STOP_LOSS,1.0,Unknown
2026-02-27,VKTR,VKTR Teknologi Mobilitas Tbk.,BUY - RISKY BOUNCE,70,945.0,898.0,969.0,983.0,NO_DATA,945.0,0.0,NO_NEXT_DAY,1.0,Unknown
2026-03-05,ITMG,Indo Tambangraya Megah Tbk.,BUY - MOMENTUM,100,25975.0,24936.0,26754.0,27274.0,WIN,27274.0,5.000962463907603,TARGET2,4.298664883635658,Trending Up
2026-03-05,PRDA,Prodia Widyahusada Tbk.,BUY - MOMENTUM,78,2580.0,2477.0,2657.0,2709.0,WIN,2709.0,5.0,TARGET2,1.4286092715231788,Sideways
2026-03-05,TAPG,Triputra Agro Persada Tbk.,BUY - BREAKOUT,100,1675.0,1640.0,1701.0,1728.0,LOSS,1640.0,-2.0895522388059704,STOP_LOSS,2.594668968468269,Trending Up
