FileDate,StockCode,StockName,Close,ChangePct,Volatility,Volume,Value,Frequency,High,Low,SpreadPct,AvgTradeSize,VolumeVsShares,ValueRank,DayTradingScore,Category,EntrySignal,SignalStrength,StopLoss,Target1,Target2,RiskReward,Support7d,Resistance7d,PricePosition,MarketPhase
2026-02-27,UNTR,United Tractors Tbk.,28600.0,-5.921052631578947,4.934210526315789,10181300.0,293675742500.0,14151.0,29975.0,28475.0,0.26223776223776224,20753002.791322168,0.002729472158190464,0.9780793319415448,49.36676852238614,Reversal,HOLD,0,0.0,0.0,0.0,0.0,28875.0,31500.0,0.0,Trending Up
2026-02-27,MDKA,Merdeka Copper Gold Tbk.,3750.0,3.021978021978022,6.043956043956044,83375700.0,309796882000.0,14242.0,3790.0,3570.0,0.26666666666666666,21752343.91237186,0.0034068465365795957,0.9791231732776617,47.670309663458845,Momentum,BUY - MOMENTUM,58,3600.0,3862.0,3920.0,1.14,3160.0,3960.0,73.75,Trending Up
2026-02-27,ARCI,Archi Indonesia Tbk.,1880.0,4.444444444444445,6.388888888888888,106641800.0,197237421500.0,19527.0,1880.0,1765.0,0.26595744680851063,10100753.904849695,0.0042259480879730535,0.9697286012526096,47.48492128082558,Momentum,BUY - MOMENTUM,80,1805.0,1936.0,1974.0,1.25,1655.0,1915.0,86.53846153846155,Trending Up
2026-02-27,UNVR,Unilever Indonesia Tbk.,2380.0,3.0303030303030303,4.329004329004329,68472600.0,162068075000.0,8650.0,2410.0,2310.0,0.42016806722689076,18736193.641618498,0.0017948256880733946,0.9634655532359081,45.28051233194617,Momentum,AVOID - OVERBOUGHT,0,0.0,0.0,0.0,0.0,2210.0,2380.0,100.0,Trending Up
2026-02-27,ENRG,Energi Mega Persada Tbk.,1760.0,8.641975308641975,16.358024691358025,289156900.0,489819297500.0,35228.0,1810.0,1545.0,0.2840909090909091,13904260.744294312,0.010975266565887543,0.988517745302714,45.24912545291575,Momentum,AVOID - OVERBOUGHT,0,0.0,0.0,0.0,0.0,1510.0,1770.0,96.15384615384616,Sideways
2026-02-27,BREN,Barito Renewables Energy Tbk.,8225.0,4.777070063694268,10.509554140127388,35921400.0,290628367500.0,6426.0,8225.0,7400.0,0.303951367781155,45226947.94584501,0.00026849850455450494,0.9770354906054279,44.622832080289484,Momentum,HOLD,0,0.0,0.0,0.0,0.0,7675.0,8350.0,81.48148148148148,Trending Down
2026-02-27,AUTO,Astra Otoparts Tbk.,2900.0,4.316546762589928,4.316546762589928,6782800.0,19476372000.0,3603.0,2910.0,2790.0,0.3448275862068966,5405598.667776853,0.0014072978731394458,0.872651356993737,44.617053397944076,Momentum,AVOID - OVERBOUGHT,0,0.0,0.0,0.0,0.0,2630.0,2840.0,100.0,Trending Up
2026-02-27,GGRM,Gudang Garam Tbk.,17300.0,8.463949843260188,8.463949843260188,4252000.0,71997325000.0,4715.0,17300.0,15950.0,1.1560693641618496,15269846.235418877,0.00220987813447202,0.9384133611691023,44.05550974683535,Momentum,AVOID - OVERBOUGHT,0,0.0,0.0,0.0,0.0,15675.0,17475.0,90.27777777777779,Trending Down
2026-02-27,BRPT,Barito Pacific Tbk.,1990.0,2.051282051282051,6.153846153846154,83933000.0,164614371000.0,13195.0,1995.0,1875.0,0.25125628140703515,12475511.254262978,0.0008953119009953584,0.964509394572025,43.74737223809867,Momentum,HOLD,0,0.0,0.0,0.0,0.0,1930.0,2210.0,21.428571428571427,Trending Down
2026-02-27,ASII,Astra International Tbk.,6675.0,-0.7434944237918215,2.6022304832713754,68396400.0,455368422500.0,12085.0,6750.0,6575.0,0.37453183520599254,37680465.24617294,0.0016894860923761298,0.9874739039665971,43.283921791778546,Neutral,HOLD,0,0.0,0.0,0.0,0.0,6550.0,6775.0,55.55555555555556,Trending Down
