stock_code,entry_date,exit_date,days_held,entry_price,exit_price,quantity,signal_type,signal_strength,exit_reason,gross_pnl,net_pnl,pnl_pct,commissions,slippage,stop_loss,target1,target2
BUKA,2023-04-28,2023-04-28,1,236.0,245.0,60800,BUY - MOMENTUM,72,TARGET2,547200.0,474088.00000000006,3.8135593220338984,43867.2,29244.800000000003,231.0,243.0,245.0
CARE,2023-04-28,2023-05-02,2,484.0,472.0,29600,BUY - REVERSAL,86,STOP_LOSS,-355200.0,-425943.99999999994,-2.479338842975207,42446.4,28297.6,472.0,502.0,508.0
BIPI,2023-04-28,2023-05-03,3,147.0,144.0,97600,BUY - MOMENTUM,84,STOP_LOSS,-292800.0,-363803.99999999994,-2.0408163265306123,42602.4,28401.6,144.0,151.0,153.0
MAPA,2023-05-04,2023-05-04,1,5150.0,5047.0,2700,BUY - MOMENTUM,73,STOP_LOSS,-278100.0,-346929.75,-2.0,41297.850000000006,27531.9,5047.0,5304.0,5356.0
KLBF,2023-05-11,2023-05-11,1,2130.0,2087.0,6600,BUY - MOMENTUM,99,STOP_LOSS,-283800.0,-353380.5,-2.0187793427230045,41748.3,27832.2,2087.0,2194.0,2215.0
AMRT,2023-05-11,2023-05-15,3,2880.0,3024.0,4900,BUY - REVERSAL,87,TARGET2,705600.0,633276.0,5.0,43394.4,28929.6,2808.0,2988.0,3024.0
UNVR,2023-05-23,2023-05-25,3,4450.0,4410.0,3100,BUY - MOMENTUM,75,MAX_HOLDING,-124000.0,-192665.0,-0.8988764044943821,41199.0,27466.0,4361.0,4584.0,4628.0
ENRG,2023-05-31,2023-05-31,1,216.0,212.0,65700,BUY - MOMENTUM,100,STOP_LOSS,-262800.0,-333098.99999999994,-1.8518518518518516,42179.4,28119.6,212.0,222.0,225.0
SMRA,2023-05-31,2023-05-31,1,640.0,624.0,22100,BUY - REVERSAL,100,STOP_LOSS,-353600.0,-423436.0,-2.5,41901.600000000006,27934.4,624.0,664.0,672.0
ISAT,2023-05-31,2023-05-31,1,8300.0,8134.0,1700,BUY - MOMENTUM,81,STOP_LOSS,-282200.0,-352044.5,-2.0,41906.7,27937.800000000003,8134.0,8549.0,8632.0
ISAT,2023-06-06,2023-06-06,1,8500.0,8330.0,1600,BUY - MOMENTUM,87,STOP_LOSS,-272000.0,-339320.0,-2.0,40392.0,26928.0,8330.0,8755.0,8840.0
BBCA,2023-06-05,2023-06-07,3,9200.0,9100.0,1500,BUY - MOMENTUM,84,MAX_HOLDING,-150000.0,-218625.0,-1.0869565217391304,41175.0,27450.0,9016.0,9476.0,9568.0
BUKA,2023-06-15,2023-06-15,1,218.0,214.0,64000,BUY - MOMENTUM,100,STOP_LOSS,-256000.0,-325120.0,-1.834862385321101,41472.0,27648.0,214.0,225.0,227.0
MSIN,2023-06-16,2023-06-20,3,3860.0,3950.0,3600,BUY - REVERSAL,100,MAX_HOLDING,324000.0,253710.0,2.33160621761658,42174.0,28116.0,3764.0,4005.0,4053.0
KLBF,2023-06-22,2023-06-26,3,2020.0,2070.0,6900,BUY - REVERSAL,100,MAX_HOLDING,345000.0,274447.5,2.4752475247524752,42331.5,28221.0,1970.0,2096.0,2121.0
BUMI,2023-06-27,2023-06-27,1,115.0,113.0,121600,BUY - MOMENTUM,91,STOP_LOSS,-243200.0,-312512.0,-1.7391304347826086,41587.2,27724.800000000003,113.0,118.0,120.0
KIJA,2023-07-07,2023-07-07,1,154.0,151.0,90500,BUY - MOMENTUM,96,STOP_LOSS,-271500.0,-340506.25,-1.948051948051948,41403.75,27602.5,151.0,159.0,160.0
ICBP,2023-07-11,2023-07-13,3,11525.0,11700.0,1200,BUY - MOMENTUM,80,MAX_HOLDING,210000.0,140325.0,1.5184381778741864,41805.0,27870.0,11294.0,11871.0,11986.0
SMSM,2023-07-13,2023-07-13,1,2060.0,2019.0,6700,BUY - MOMENTUM,100,STOP_LOSS,-274700.0,-343023.25,-1.9902912621359223,40993.95,27329.300000000003,2019.0,2122.0,2142.0
BBTN,2023-07-12,2023-07-14,3,1305.0,1320.0,10600,BUY - REVERSAL,89,MAX_HOLDING,159000.0,89437.5,1.1494252873563218,41737.5,27825.0,1272.0,1354.0,1370.0
MYOR,2023-07-13,2023-07-17,3,2560.0,2496.0,5400,BUY - REVERSAL,98,STOP_LOSS,-345600.0,-413856.0,-2.5,40953.600000000006,27302.4,2496.0,2656.0,2688.0
BFIN,2023-07-18,2023-07-18,1,1325.0,1292.0,10400,BUY - REVERSAL,100,STOP_LOSS,-343200.0,-411242.0,-2.490566037735849,40825.2,27216.800000000003,1292.0,1375.0,1391.0
ICBP,2023-07-18,2023-07-18,1,11750.0,11515.0,1100,BUY - MOMENTUM,73,STOP_LOSS,-258500.0,-322478.75,-2.0,38387.25,25591.5,11515.0,12102.0,12220.0
PWON,2023-07-17,2023-07-20,3,486.0,486.0,28500,BUY - REVERSAL,86,STOP_LOSS,0.0,-69255.0,0.0,41553.0,27702.0,474.0,504.0,510.0
PWON,2023-07-20,2023-07-20,1,498.0,488.0,27500,BUY - MOMENTUM,96,STOP_LOSS,-275000.0,-342787.5,-2.0080321285140563,40672.5,27115.0,488.0,513.0,518.0
ICBP,2023-07-20,2023-07-24,3,11475.0,11525.0,1100,BUY - REVERSAL,100,MAX_HOLDING,55000.0,-8250.0,0.4357298474945534,37950.0,25300.0,11188.0,11905.0,12049.0
FILM,2023-07-25,2023-07-25,1,3800.0,3724.0,3500,BUY - MOMENTUM,100,STOP_LOSS,-266000.0,-331835.0,-2.0,39501.0,26334.0,3724.0,3914.0,3952.0
MAPI,2023-07-27,2023-07-27,1,2000.0,1960.0,6700,BUY - MOMENTUM,100,STOP_LOSS,-268000.0,-334330.0,-2.0,39798.0,26532.0,1960.0,2060.0,2080.0
SMSM,2023-07-27,2023-07-31,3,1975.0,2000.0,6800,BUY - REVERSAL,100,MAX_HOLDING,170000.0,102425.0,1.2658227848101267,40545.0,27030.0,1926.0,2049.0,2074.0
TPIA,2023-08-02,2023-08-04,3,2060.0,2080.0,6500,BUY - REVERSAL,87,MAX_HOLDING,130000.0,62725.0,0.9708737864077669,40365.0,26910.0,2008.0,2137.0,2163.0
BMRI,2023-08-02,2023-08-04,3,5700.0,5775.0,2300,BUY - MOMENTUM,74,MAX_HOLDING,172500.0,106518.75,1.3157894736842104,39588.75,26392.5,5586.0,5871.0,5928.0
AVIA,2023-08-04,2023-08-07,2,615.0,627.3,22000,BUY - MOMENTUM,85,STOP_LOSS,270599.999999999,202273.499999999,1.9999999999999927,40995.899999999994,27330.6,603.0,633.0,640.0
MBMA,2023-08-08,2023-08-08,1,745.0,730.0,18200,BUY - MOMENTUM,68,STOP_LOSS,-273000.0,-340112.5,-2.013422818791946,40267.5,26845.0,730.0,767.0,775.0
SMSM,2023-08-09,2023-08-09,1,2120.0,2078.0,6300,BUY - MOMENTUM,100,STOP_LOSS,-264600.0,-330718.5,-1.9811320754716981,39671.100000000006,26447.4,2078.0,2184.0,2205.0
PANI,2023-08-10,2023-08-10,1,1840.0,1803.0,7300,BUY - MOMENTUM,100,STOP_LOSS,-270100.0,-336584.75,-2.010869565217391,39890.850000000006,26593.9,1803.0,1895.0,1914.0
EXCL,2023-08-16,2023-08-16,1,2350.0,2303.0,5700,BUY - MOMENTUM,98,STOP_LOSS,-267900.0,-334205.25,-2.0,39783.15,26522.1,2303.0,2420.0,2444.0
