Date,StockCode,StockName,EntrySignal,SignalStrength,EntryPrice,StopLoss,Target1,Target2,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2025-12-03,RMKE,RMK Energy Tbk.,BUY - RISKY BOUNCE,67,4100.0,3895.0,4202.0,4264.0,LOSS,3895.0,-5.0,STOP_LOSS,1.0,Unknown
2025-12-03,UDNG,Agro Bahari Nusantara Tbk.,BUY - RISKY BOUNCE,70,4600.0,4370.0,4715.0,4784.0,NO_DATA,4600.0,0.0,NO_NEXT_DAY,1.0,Unknown
2025-12-04,CARE,Metro Healthcare Indonesia Tbk.,BUY - RISKY BOUNCE,69,422.0,401.0,433.0,439.0,WIN,439.0,4.028436018957346,TARGET2,1.0,Unknown
2025-12-05,FILM,MD Entertainment Tbk.,BUY - RISKY BOUNCE,67,11000.0,10450.0,11275.0,11440.0,LOSS,10450.0,-5.0,STOP_LOSS,1.0,Unknown
2025-12-05,IMPC,Impack Pratama Industri Tbk.,BUY - RISKY BOUNCE,70,3790.0,3600.0,3885.0,3942.0,LOSS,3730.0,-1.58311345646438,CLOSE,1.0,Unknown
2025-12-10,BRPT,Barito Pacific Tbk.,BUY - BREAKOUT,97,3720.0,3668.0,3759.0,3798.0,LOSS,3668.0,-1.3978494623655915,STOP_LOSS,5.857210789075699,Trending Up
2025-12-10,BULL,Buana Lintas Lautan Tbk.,BUY - BREAKOUT,96,326.0,314.0,335.0,345.0,LOSS,314.0,-3.6809815950920246,STOP_LOSS,2.636824378012081,Trending Up
2025-12-12,BULL,Buana Lintas Lautan Tbk.,BUY - BREAKOUT,97,352.0,341.0,360.0,368.0,LOSS,341.0,-3.125,STOP_LOSS,3.221563122508466,Trending Up
2025-12-12,MDKA,Merdeka Copper Gold Tbk.,BUY - MOMENTUM,76,2250.0,2160.0,2318.0,2362.0,WIN,2362.0,4.977777777777778,TARGET2,1.6999802106499071,Trending Up
2025-12-15,KLBF,Kalbe Farma Tbk.,BUY - RISKY BOUNCE,70,1220.0,1159.0,1250.0,1269.0,WIN,1269.0,4.016393442622951,TARGET2,5.764503490897941,Trending Down
2025-12-16,UNVR,Unilever Indonesia Tbk.,BUY - RISKY BOUNCE,70,2710.0,2574.0,2778.0,2818.0,WIN,2818.0,3.985239852398524,TARGET2,2.728221014034644,Trending Down
2025-12-17,PNLF,Panin Financial Tbk.,BUY - MOMENTUM,100,268.0,257.0,276.0,281.0,WIN,281.0,4.850746268656716,TARGET2,2.8675986008278103,Trending Up
2025-12-18,NISP,Bank OCBC NISP Tbk.,BUY - BREAKOUT,66,1375.0,1351.0,1393.0,1411.0,LOSS,1351.0,-1.7454545454545456,STOP_LOSS,1.4823227117075892,Sideways
2025-12-19,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,BUY - MOMENTUM,80,555.0,533.0,572.0,583.0,WIN,583.0,5.045045045045045,TARGET2,1.6116194301867144,Trending Up
2025-12-22,INCO,Vale Indonesia Tbk.,BUY - MOMENTUM,100,4440.0,4262.0,4573.0,4662.0,WIN,4662.0,5.0,TARGET2,2.9591538591454145,Trending Up
2025-12-29,PANI,Pantai Indah Kapuk Dua Tbk.,BUY - BREAKOUT,83,11950.0,11829.0,12041.0,12132.0,LOSS,11829.0,-1.0125523012552302,STOP_LOSS,1.8746044897113758,Trending Up
2026-01-02,PNLF,Panin Financial Tbk.,BUY - MOMENTUM,100,278.0,267.0,286.0,292.0,WIN,292.0,5.0359712230215825,TARGET2,5.3291394602211675,Sideways
2026-01-05,BANK,Bank Aladin Syariah Tbk.,BUY - RISKY BOUNCE,67,1080.0,1026.0,1107.0,1123.0,WIN,1123.0,3.981481481481482,TARGET2,0.6172016959418534,Trending Down
2026-01-05,CMRY,Cisarua Mountain Dairy Tbk.,BUY - BREAKOUT,74,5650.0,5319.0,5899.0,6147.0,LOSS,5319.0,-5.8584070796460175,STOP_LOSS,1.3495429642238976,Sideways
2026-01-05,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - MOMENTUM,79,3580.0,3437.0,3687.0,3759.0,WIN,3759.0,5.0,TARGET2,1.4633707923568866,Trending Up
2026-01-06,MDKA,Merdeka Copper Gold Tbk.,BUY - RISKY BOUNCE,70,2700.0,2565.0,2767.0,2808.0,WIN,2808.0,4.0,TARGET2,3.56829138943926,Trending Down
2026-01-12,KLBF,Kalbe Farma Tbk.,BUY - MOMENTUM,99,1220.0,1171.0,1257.0,1281.0,WIN,1281.0,5.0,TARGET2,3.154093050364326,Trending Up
2026-01-12,MSIN,MNC Digital Entertainment Tbk.,BUY - RISKY BOUNCE,70,462.0,439.0,474.0,480.0,WIN,480.0,3.896103896103896,TARGET2,96.97103342643481,Trending Down
2026-01-13,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - MOMENTUM,75,3620.0,3475.0,3729.0,3801.0,WIN,3801.0,5.0,TARGET2,1.4024121852580995,Trending Up
2026-01-14,BRIS,Bank Syariah Indonesia Tbk.,BUY - BREAKOUT,83,2250.0,2120.0,2348.0,2445.0,LOSS,2120.0,-5.777777777777778,STOP_LOSS,1.6723026886916679,Trending Up
2026-01-14,MAPI,Mitra Adiperkasa Tbk.,BUY - MOMENTUM,96,1180.0,1133.0,1215.0,1239.0,WIN,1239.0,5.0,TARGET2,2.518866698659023,Trending Up
2026-01-14,OASA,Maharaksa Biru Energi Tbk.,BUY - BREAKOUT,100,398.0,386.0,407.0,416.0,LOSS,386.0,-3.015075376884422,STOP_LOSS,14.647826030588122,Sideways
2026-01-15,BBNI,Bank Negara Indonesia (Persero) Tbk.,BUY - MOMENTUM,100,4540.0,4358.0,4676.0,4767.0,WIN,4767.0,5.0,TARGET2,3.0667523373139542,Trending Up
2026-01-19,MSIN,MNC Digital Entertainment Tbk.,BUY - RISKY BOUNCE,70,490.0,466.0,502.0,510.0,WIN,510.0,4.081632653061225,TARGET2,22.904354479688372,Trending Down
2026-01-20,KPIG,MNC Tourism Indonesia Tbk.,BUY - BREAKOUT,98,284.0,275.0,290.0,297.0,LOSS,275.0,-3.169014084507042,STOP_LOSS,2.955796918413741,Sideways
2026-01-20,MAPI,Mitra Adiperkasa Tbk.,BUY - MOMENTUM,82,1200.0,1152.0,1236.0,1260.0,WIN,1260.0,5.0,TARGET2,2.0380053129779667,Sideways
2026-01-21,EMTK,Elang Mahkota Teknologi Tbk.,BUY - BREAKOUT,93,1075.0,998.0,1133.0,1191.0,LOSS,998.0,-7.162790697674419,STOP_LOSS,2.1880055574936508,Sideways
2026-01-21,INCO,Vale Indonesia Tbk.,BUY - BREAKOUT,86,6450.0,6100.0,6712.0,6975.0,WIN,6625.0,2.7131782945736433,CLOSE,4.072927530062786,Trending Up
2026-01-22,ASII,Astra International Tbk.,BUY - BREAKOUT,77,6775.0,6546.0,6946.0,7118.0,LOSS,6546.0,-3.3800738007380073,STOP_LOSS,1.5199735922161974,Sideways
2026-01-22,KPIG,MNC Tourism Indonesia Tbk.,BUY - BREAKOUT,80,286.0,276.0,293.0,301.0,LOSS,276.0,-3.4965034965034967,STOP_LOSS,1.504149187841215,Trending Up
2026-01-22,MAPI,Mitra Adiperkasa Tbk.,BUY - MOMENTUM,100,1265.0,1214.0,1303.0,1328.0,WIN,1328.0,4.980237154150197,TARGET2,2.5401668347179522,Trending Up
2026-01-22,SMRA,Summarecon Agung Tbk.,BUY - MOMENTUM,84,402.0,386.0,414.0,422.0,WIN,422.0,4.975124378109453,TARGET2,2.197722562349894,Sideways
