FileDate,StockCode,StockName,Close,ChangePct,Volatility,Volume,Value,Frequency,High,Low,SpreadPct,AvgTradeSize,VolumeVsShares,ValueRank,DayTradingScore,Category,EntrySignal,SignalGrade,SignalStrength,SignalReason,StopLoss,Target1,Target2,RiskReward,Support7d,Resistance7d,PricePosition,MarketPhase
2026-03-10,HMSP,H.M. Sampoerna Tbk.,815.0,4.487179487179487,4.487179487179487,26968900.0,21444469000.0,2096.0,815.0,780.0,0.6134969325153374,10231139.790076336,0.00023185476169095776,0.8987473903966597,50.91519298872592,Momentum,BUY - AKUMULASI,B,47,NonReg 17.1% | Avg Rp10jt | Asing: NET BUY,791.0,839.0,864.0,2.0,755.0,915.0,37.5,Trending Down
2026-03-10,ASII,Astra International Tbk.,6000.0,2.564102564102564,4.273504273504273,33964900.0,205123150000.0,10435.0,6150.0,5900.0,0.4166666666666667,19657225.682798274,0.0008389802121010172,0.975991649269311,50.861093653055114,Momentum,BUY - AKUMULASI,B,59,NonReg 17.0% | Avg Rp20jt | Asing: NET BUY,5820.0,6180.0,6360.0,2.0,5800.0,6750.0,21.052631578947366,Trending Down
2026-03-10,ISAT,Indosat Tbk.,2050.0,2.5,6.0,28950900.0,58620062500.0,6580.0,2100.0,1980.0,0.4878048780487805,8908824.088145897,0.0008976797525680898,0.9446764091858038,49.779984700899796,Momentum,BUY - AKUMULASI,B,56,NonReg 41.2% | Avg Rp9jt | Asing: NET BUY,1988.0,2112.0,2173.0,2.0,1920.0,2350.0,30.23255813953488,Trending Down
2026-03-10,JSMR,Jasa Marga (Persero) Tbk.,3180.0,2.912621359223301,3.8834951456310676,8138100.0,25746923000.0,3625.0,3240.0,3120.0,0.3144654088050315,7102599.448275862,0.0011212791982310184,0.907098121085595,49.53304467641066,Momentum,BUY - AKUMULASI,C,43,NonReg 12.5% | Avg Rp7jt | Asing: NET BUY,3085.0,3275.0,3371.0,2.0,3060.0,3780.0,16.666666666666664,Trending Down
2026-03-10,MIKA,Mitra Keluarga Karyasehat Tbk.,2100.0,1.4492753623188406,5.314009661835748,5831500.0,12362832000.0,2005.0,2180.0,2070.0,0.4761904761904762,6166000.997506235,0.0004193066875551839,0.8695198329853863,49.32494931020874,Momentum,BUY - AKUMULASI,B,62,NonReg 38.6% | Avg Rp6jt | Asing: NET BUY,2037.0,2163.0,2226.0,2.0,2040.0,2250.0,28.57142857142857,Trending Down
2026-03-10,NSSS,Nusantara Sawit Sejahtera Tbk.,965.0,1.5789473684210527,6.842105263157896,23657600.0,22528156000.0,2334.0,985.0,920.0,0.5181347150259068,9652166.238217652,0.0009939512959356886,0.9008350730688935,47.02999228951762,Momentum,BUY - AKUMULASI,B,57,NonReg 235.3% | Avg Rp10jt | Asing: NET BUY,936.0,994.0,1023.0,2.0,840.0,1125.0,43.859649122807014,Trending Down
2026-03-10,BUKA,Bukalapak.com Tbk.,136.0,5.426356589147287,5.426356589147287,67855000.0,9138742700.0,1579.0,138.0,131.0,0.7352941176470588,5787677.454084864,0.0006578366572618463,0.8444676409185804,46.54822727161603,Momentum,BUY - AKUMULASI,C,39,NonReg 6.4% | Avg Rp6jt | Asing: NET BUY,132.0,140.0,144.0,2.0,125.0,148.0,47.82608695652174,Trending Down
2026-03-10,AMRT,Sumber Alfaria Trijaya Tbk.,1435.0,0.0,3.1358885017421603,22012800.0,31851462000.0,4550.0,1480.0,1435.0,0.34843205574912894,7000321.318681318,0.0005301159339378659,0.9206680584551148,44.04192482869635,Neutral,BUY - AKUMULASI,C,43,NonReg 325.0% | Avg Rp7jt | Asing: NET BUY,1392.0,1478.0,1521.0,2.0,1405.0,1720.0,9.523809523809524,Trending Down
2026-03-10,SSMS,Sawit Sumbermas Sarana Tbk.,1260.0,-4.545454545454546,7.575757575757576,6476000.0,8543055500.0,965.0,1355.0,1255.0,1.1904761904761905,8852907.25388601,0.0006798950131233596,0.8402922755741128,39.3622152120999,Reversal,AVOID - DOWNTREND,,0,,0.0,0.0,0.0,0.0,1205.0,1630.0,12.941176470588237,Trending Down
2026-03-10,ADRO,Alamtri Resources Indonesia Tbk.,2380.0,1.276595744680851,3.404255319148936,66441500.0,156542366000.0,13464.0,2390.0,2310.0,0.42016806722689076,11626735.442661913,0.0022607077977489618,0.9707724425887265,34.8109872737904,Momentum,HOLD,,0,,0.0,0.0,0.0,0.0,2270.0,2530.0,42.30769230769231,Sideways
2026-03-10,ARTO,Bank Jago Tbk.,1500.0,12.781954887218044,14.285714285714285,8231700.0,11914843500.0,2140.0,1520.0,1330.0,0.33333333333333337,5567683.878504673,0.0005998570958903599,0.8674321503131524,26.303587253518327,Momentum,AVOID - OVERBOUGHT,,0,,0.0,0.0,0.0,0.0,1300.0,1620.0,62.5,Trending Down
2026-03-10,ICBP,Indofood CBP Sukses Makmur Tbk.,7250.0,1.7543859649122806,1.4035087719298245,2522500.0,18272617500.0,2819.0,7300.0,7200.0,0.3448275862068966,6481950.159631074,0.00021630251241906557,0.8893528183716075,22.86868650809112,Momentum,HOLD,,0,,0.0,0.0,0.0,0.0,7100.0,8025.0,16.216216216216218,Trending Down
