date,capital,unrealized_pnl,total_equity,num_positions,return_pct
2023-02-22,100000000.0,0.0,100000000.0,1,0.0
2023-02-23,100000000.0,124000.0,100124000.0,1,0.124
2023-02-24,99926220.0,0.0,99926220.0,0,-0.07378
2023-02-27,99926220.0,0.0,99926220.0,0,-0.07378
2023-02-28,99926220.0,0.0,99926220.0,0,-0.07378
2023-03-01,99926220.0,0.0,99926220.0,0,-0.07378
2023-03-02,99926220.0,0.0,99926220.0,1,-0.07378
2023-03-03,99926220.0,-116000.0,99810220.0,1,-0.18978
2023-03-06,99481128.0,0.0,99481128.0,0,-0.518872
2023-03-07,99481128.0,0.0,99481128.0,0,-0.518872
2023-03-08,99481128.0,0.0,99481128.0,0,-0.518872
2023-03-09,99481128.0,0.0,99481128.0,0,-0.518872
2023-03-10,99481128.0,0.0,99481128.0,0,-0.518872
2023-03-13,99481128.0,0.0,99481128.0,0,-0.518872
2023-03-14,99481128.0,0.0,99481128.0,0,-0.518872
2023-03-15,99481128.0,0.0,99481128.0,0,-0.518872
2023-03-16,99481128.0,0.0,99481128.0,1,-0.518872
2023-03-17,99481128.0,79000.0,99560128.0,3,-0.439872
2023-03-20,98875638.0,-40000.0,98835638.0,1,-1.1643620000000001
2023-03-21,98803438.0,0.0,98803438.0,0,-1.196562
2023-03-24,98803438.0,0.0,98803438.0,1,-1.196562
2023-03-27,98432647.0,62500.0,98495147.0,1,-1.504853
2023-03-28,98570503.09375,0.0,98570503.09375,0,-1.42949690625
2023-03-29,98570503.09375,0.0,98570503.09375,0,-1.42949690625
2023-03-30,98570503.09375,0.0,98570503.09375,0,-1.42949690625
2023-03-31,98197753.09375,0.0,98197753.09375,0,-1.8022469062500002
2023-04-03,98197753.09375,0.0,98197753.09375,1,-1.8022469062500002
2023-04-04,97822446.84375,0.0,97822446.84375,0,-2.1775531562499997
2023-04-05,97822446.84375,0.0,97822446.84375,1,-2.1775531562499997
2023-04-06,97385541.84375,0.0,97385541.84375,0,-2.61445815625
2023-04-10,97385541.84375,0.0,97385541.84375,0,-2.61445815625
2023-04-11,97385541.84375,0.0,97385541.84375,0,-2.61445815625
2023-04-12,97385541.84375,0.0,97385541.84375,0,-2.61445815625
2023-04-13,97385541.84375,0.0,97385541.84375,0,-2.61445815625
2023-04-14,96657824.34375,0.0,96657824.34375,2,-3.3421756562500002
2023-04-17,96295686.84375,-270000.0,96025686.84375,1,-3.97431315625
2023-04-18,96090486.84375,0.0,96090486.84375,2,-3.9095131562500005
2023-04-26,95786550.84375,0.0,95786550.84375,1,-4.21344915625
2023-04-27,95716200.84375,0.0,95716200.84375,1,-4.28379915625
2023-04-28,95762182.59375,0.0,95762182.59375,2,-4.2378174062500005
2023-05-02,95336238.59375,0.0,95336238.59375,1,-4.66376140625
2023-05-03,94972434.59375,0.0,94972434.59375,0,-5.02756540625
2023-05-04,94625504.84375,0.0,94625504.84375,0,-5.37449515625
2023-05-05,94625504.84375,0.0,94625504.84375,0,-5.37449515625
2023-05-08,94625504.84375,0.0,94625504.84375,0,-5.37449515625
2023-05-09,94625504.84375,0.0,94625504.84375,0,-5.37449515625
2023-05-10,94625504.84375,0.0,94625504.84375,0,-5.37449515625
2023-05-11,94272124.34375,0.0,94272124.34375,1,-5.72787565625
2023-05-12,94272124.34375,294000.0,94566124.34375,1,-5.43387565625
2023-05-15,94905400.34375,0.0,94905400.34375,0,-5.09459965625
2023-05-16,94905400.34375,0.0,94905400.34375,0,-5.09459965625
2023-05-17,94905400.34375,0.0,94905400.34375,0,-5.09459965625
2023-05-19,94905400.34375,0.0,94905400.34375,0,-5.09459965625
2023-05-22,94905400.34375,0.0,94905400.34375,0,-5.09459965625
2023-05-23,94905400.34375,0.0,94905400.34375,1,-5.09459965625
2023-05-24,94905400.34375,-124000.0,94781400.34375,1,-5.21859965625
2023-05-25,94712735.34375,0.0,94712735.34375,0,-5.28726465625
2023-05-26,94712735.34375,0.0,94712735.34375,0,-5.28726465625
2023-05-29,94712735.34375,0.0,94712735.34375,0,-5.28726465625
2023-05-30,94712735.34375,0.0,94712735.34375,0,-5.28726465625
2023-05-31,93604155.84375,0.0,93604155.84375,0,-6.39584415625
2023-06-05,93604155.84375,0.0,93604155.84375,1,-6.39584415625
2023-06-06,93264835.84375,-75000.0,93189835.84375,1,-6.81016415625
2023-06-07,93046210.84375,0.0,93046210.84375,0,-6.953789156249999
2023-06-08,93046210.84375,0.0,93046210.84375,0,-6.953789156249999
2023-06-09,93046210.84375,0.0,93046210.84375,0,-6.953789156249999
2023-06-12,93046210.84375,0.0,93046210.84375,0,-6.953789156249999
2023-06-13,93046210.84375,0.0,93046210.84375,0,-6.953789156249999
2023-06-14,93046210.84375,0.0,93046210.84375,0,-6.953789156249999
2023-06-15,92721090.84375,0.0,92721090.84375,0,-7.27890915625
2023-06-16,92721090.84375,0.0,92721090.84375,1,-7.27890915625
2023-06-19,92721090.84375,360000.0,93081090.84375,1,-6.91890915625
2023-06-20,92974800.84375,0.0,92974800.84375,0,-7.02519915625
2023-06-21,92974800.84375,0.0,92974800.84375,0,-7.02519915625
2023-06-22,92974800.84375,0.0,92974800.84375,1,-7.02519915625
2023-06-23,92974800.84375,207000.0,93181800.84375,1,-6.81819915625
2023-06-26,93249248.34375,0.0,93249248.34375,0,-6.750751656249999
2023-06-27,92936736.34375,0.0,92936736.34375,0,-7.06326365625
2023-07-03,92936736.34375,0.0,92936736.34375,0,-7.06326365625
2023-07-04,92936736.34375,0.0,92936736.34375,0,-7.06326365625
2023-07-05,92936736.34375,0.0,92936736.34375,0,-7.06326365625
2023-07-06,92936736.34375,0.0,92936736.34375,0,-7.06326365625
2023-07-07,92596230.09375,0.0,92596230.09375,0,-7.40376990625
2023-07-10,92596230.09375,0.0,92596230.09375,0,-7.40376990625
2023-07-11,92596230.09375,0.0,92596230.09375,1,-7.40376990625
2023-07-12,92596230.09375,150000.0,92746230.09375,2,-7.2537699062500005
2023-07-13,92393531.84375,159000.0,92552531.84375,2,-7.44746815625
2023-07-14,92482969.34375,-54000.0,92428969.34375,1,-7.57103065625
2023-07-17,92069113.34375,0.0,92069113.34375,1,-7.930886656249999
2023-07-18,91335392.59375,-57000.0,91278392.59375,1,-8.72160740625
2023-07-20,90923350.09375,0.0,90923350.09375,1,-9.076649906250001
2023-07-21,90923350.09375,27500.0,90950850.09375,1,-9.04914990625
2023-07-24,90915100.09375,0.0,90915100.09375,0,-9.084899906250001
2023-07-25,90583265.09375,0.0,90583265.09375,0,-9.41673490625
2023-07-26,90583265.09375,0.0,90583265.09375,0,-9.41673490625
