stock_code,entry_date,exit_date,days_held,entry_price,exit_price,quantity,signal_type,signal_strength,exit_reason,gross_pnl,net_pnl,pnl_pct,commissions,slippage,stop_loss,target1,target2
BFIN,2023-02-22,2023-02-23,2,1300.0,1319.4999999999998,11500,BUY - REVERSAL,63,STOP_LOSS,224249.99999999738,148939.37499999738,1.4999999999999825,45186.375,30124.25,1235.0,1339.0,1365.0
BBRI,2023-02-22,2023-02-24,3,4760.0,4760.0,3100,BUY - REVERSAL,35,MAX_HOLDING,0.0,-73780.0,0.0,44268.0,29512.0,4522.0,4903.0,4998.0
TLKM,2023-02-22,2023-02-24,3,3860.0,4040.0,3800,BUY - MOMENTUM,22,MAX_HOLDING,684000.0,608950.0,4.66321243523316,45030.0,30020.0,3706.0,3976.0,4053.0
ADRO,2023-02-22,2023-02-24,3,2850.0,2890.0,5200,BUY - MOMENTUM,28,MAX_HOLDING,208000.0,133380.0,1.4035087719298245,44772.0,29848.0,2736.0,2936.0,2992.0
ADRO,2023-02-23,2023-02-27,3,2900.0,2950.0,5100,BUY - MOMENTUM,44,MAX_HOLDING,255000.0,180412.5,1.7241379310344827,44752.5,29835.0,2784.0,2987.0,3010.0
MYOR,2023-02-24,2023-02-28,3,2680.0,2573.0,5600,BUY - MOMENTUM,49,STOP_LOSS,-599200.0,-672742.0,-3.992537313432836,44125.2,29416.800000000003,2573.0,2760.0,2814.0
ESSA,2023-02-27,2023-02-28,2,1060.0,1113.0,14200,BUY - MOMENTUM,28,TARGET2,752600.0,675458.5,5.0,46284.9,30856.6,1018.0,1092.0,1113.0
BBCA,2023-02-27,2023-03-01,3,8775.0,8600.0,1700,BUY - MOMENTUM,32,MAX_HOLDING,-297500.0,-371343.75,-1.9943019943019942,44306.25,29537.5,8424.0,9038.0,9214.0
AGII,2023-03-01,2023-03-01,1,2240.0,2150.0,6700,BUY - MOMENTUM,100,STOP_LOSS,-603000.0,-676532.5,-4.017857142857143,44119.5,29413.0,2150.0,2307.0,2352.0
MAPA,2023-02-28,2023-03-02,3,4890.0,4770.0,3000,BUY - MOMENTUM,91,MAX_HOLDING,-360000.0,-432450.0,-2.4539877300613497,43470.0,28980.0,4694.0,5037.0,5049.0
SMSM,2023-02-28,2023-03-02,3,1550.0,1545.0,9700,BUY - MOMENTUM,44,MAX_HOLDING,-48500.0,-123553.75,-0.3225806451612903,45032.25,30021.5,1488.0,1596.0,1628.0
MAPI,2023-03-01,2023-03-02,2,1550.0,1581.0,9700,BUY - MOMENTUM,64,STOP_LOSS,300700.0,224773.25,2.0,45556.05,30370.7,1488.0,1596.0,1628.0
