StockCode,SignalType,EntryDate,EntryPrice,StopLoss,Target1,Target2,ExitDate,Outcome,Return%,MaxProfit%,DaysToTarget,HitT1,HitT2,HitSL
MAPI,BUY - REVERSAL,2025-11-26,1245.0,1208.0,1282.0,1307.0,2025-12-01,LOSS,-4.02,2.01,0,False,False,True
BKSL,BUY - MOMENTUM,2025-11-26,138.0,134.0,142.0,143.0,2025-11-27,WIN-T2,3.62,7.25,1,True,True,False
