FileDate,StockCode,StockName,Close,ChangePct,Volatility,Volume,Value,Frequency,High,Low,SpreadPct,AvgTradeSize,VolumeVsShares,ValueRank,DayTradingScore
2026-02-24,BUMI,Bumi Resources Tbk.,274.0,-7.4324324324324325,9.45945945945946,8768902000.0,2471337220200.0,179444.0,298.0,270.0,0.7299270072992701,13772191.994159738,0.023614506420099633,1.0,71.280136145094
2026-02-24,ANTM,Aneka Tambang Tbk.,4380.0,-0.22779043280182232,4.100227790432802,166385100.0,740434551000.0,57632.0,4550.0,4370.0,0.228310502283105,12847628.938784009,0.006923837085671438,0.9937369519832986,52.88851154305671
2026-02-24,BBCA,Bank Central Asia Tbk.,7225.0,-1.0273972602739725,1.36986301369863,159225400.0,1157192315000.0,34699.0,7325.0,7225.0,0.34602076124567477,33349442.779330816,0.0013046738766176722,0.9979123173277662,51.82819454887778
2026-02-24,BMRI,Bank Mandiri (Persero) Tbk.,5375.0,1.8957345971563981,2.3696682464454977,203553200.0,1084599317500.0,30405.0,5375.0,5250.0,0.46511627906976744,35671742.06544976,0.002202956710052076,0.9968684759916493,51.75102018177906
2026-02-24,MDKA,Merdeka Copper Gold Tbk.,3790.0,1.3368983957219251,4.010695187165775,92209500.0,352229118000.0,26160.0,3900.0,3750.0,0.2638522427440633,13464415.825688073,0.003767807835073483,0.9832985386221295,44.06260526018435
2026-02-24,PTRO,Petrosea Tbk.,6650.0,-6.666666666666667,9.824561403508772,130424400.0,886706552500.0,67887.0,7200.0,6500.0,0.37593984962406013,13061507.394641094,0.01293116730533757,0.9958246346555324,43.83314965518929
2026-02-24,ARCI,Archi Indonesia Tbk.,1825.0,-1.3513513513513513,5.135135135135135,123108800.0,229793595000.0,30036.0,1915.0,1820.0,0.273972602739726,7650605.7730723135,0.004878494154943531,0.9739039665970772,43.566096470361195
2026-02-24,BIPI,Astrindo Nusantara Infrastruktur Tbk.,270.0,-1.4598540145985401,13.86861313868613,4654768100.0,1294021794400.0,168131.0,296.0,258.0,0.7407407407407408,7696509.236250305,0.07306158708101486,0.9989561586638831,43.052423230816395
2026-02-24,TLKM,Telkom Indonesia (Persero) Tbk.,3580.0,0.8450704225352111,2.535211267605634,119024300.0,423689660000.0,19136.0,3600.0,3510.0,0.27932960893854747,22140973.035117056,0.001201510566643226,0.988517745302714,42.35430785822647
2026-02-24,TINS,Timah Tbk.,4150.0,-0.2403846153846154,8.173076923076923,114789100.0,494572066000.0,36889.0,4460.0,4120.0,0.24096385542168677,13407033.695681639,0.015412580546466622,0.9916492693110647,41.85615864090698
2026-02-24,MEDC,Medco Energi Internasional Tbk.,1685.0,-2.601156069364162,5.780346820809249,140191200.0,241205352500.0,21342.0,1775.0,1675.0,0.2967359050445104,11301909.497704057,0.005577256136551715,0.975991649269311,41.676652051132656
2026-02-24,BUVA,Bukit Uluwatu Villa Tbk.,1445.0,-2.0338983050847457,8.135593220338983,327432400.0,477298004500.0,52840.0,1520.0,1400.0,0.34602076124567477,9032891.833838,0.013301038843264229,0.9906054279749478,40.8693689668554
2026-02-24,EMAS,Merdeka Gold Resources Tbk.,8325.0,-0.8928571428571428,6.547619047619048,29036500.0,246080810000.0,18523.0,8825.0,8275.0,0.3003003003003003,13285148.734006371,0.003950032775504594,0.9770354906054279,39.936394904774204
2026-02-24,MBMA,Merdeka Battery Materials Tbk.,880.0,0.5714285714285714,5.142857142857142,307250400.0,271932876500.0,24121.0,910.0,865.0,0.5681818181818182,11273698.291944778,0.0028450317641665096,0.9801670146137788,39.8745099948059
2026-02-24,NCKL,Trimegah Bangun Persada Tbk.,1530.0,-0.9708737864077669,4.53074433656958,92937800.0,144331638500.0,14550.0,1595.0,1525.0,0.32679738562091504,9919700.240549829,0.001472897972379736,0.9613778705636743,39.73149277822712
2026-02-24,CUAN,Petrindo Jaya Kreasi Tbk.,1720.0,-4.444444444444445,6.944444444444445,146053100.0,260198508500.0,22874.0,1845.0,1720.0,0.29069767441860467,11375295.46646848,0.0012991863467797674,0.9791231732776617,39.27629061083804
2026-02-24,RAJA,Rukun Raharja Tbk.,4670.0,-4.887983706720977,6.517311608961303,31771500.0,152708046000.0,18405.0,4980.0,4660.0,0.21413276231263384,8297095.680521597,0.007516176937639613,0.9624217118997912,38.934714648590244
2026-02-24,INDY,Indika Energy Tbk.,3670.0,-2.1333333333333333,6.133333333333333,35409200.0,133896851000.0,12254.0,3890.0,3660.0,0.2724795640326975,10926787.253141832,0.006796141101901811,0.9582463465553236,38.75048709593885
2026-02-24,UNTR,United Tractors Tbk.,30800.0,0.24410089503661514,2.034174125305126,5270600.0,161991235000.0,9304.0,30925.0,30300.0,0.08116883116883117,17410923.79621668,0.001412978299132592,0.964509394572025,38.64142870191148
2026-02-24,EXCL,XLSMART Telecom Sejahtera Tbk.,3170.0,-3.353658536585366,4.2682926829268295,38168400.0,122478077000.0,14477.0,3290.0,3150.0,0.31545741324921134,8460183.532499827,0.0020971806848959357,0.9551148225469729,38.61408992324042
2026-02-24,AADI,Adaro Andalan Indonesia Tbk.,8950.0,-3.763440860215054,3.763440860215054,15632000.0,141144112500.0,12338.0,9250.0,8900.0,0.27932960893854747,11439788.661047172,0.002007476215387897,0.9603340292275574,38.61282577219848
2026-02-24,TAPG,Triputra Agro Persada Tbk.,1550.0,2.6490066225165565,4.966887417218543,38674400.0,60236287000.0,8522.0,1585.0,1510.0,0.3225806451612903,7068327.505280451,0.0019480832175630927,0.9269311064718163,38.493088623165185
2026-02-24,GGRM,Gudang Garam Tbk.,15700.0,-3.6809815950920246,4.141104294478527,1188900.0,18913290000.0,2175.0,16375.0,15700.0,0.15923566878980894,8695765.51724138,0.0006179031312497142,0.8622129436325678,38.068907202201274
