Date,StockCode,StockName,EntrySignal,SignalGrade,SignalStrength,SignalReason,EntryPrice,StopLoss,Target1,Target2,RiskReward,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2026-03-03,ISAT,Indosat Tbk.,BUY - AKUMULASI,B,46,NonReg 11.9% | Avg Rp9jt | Asing: NET BUY,2290.0,2221.0,2359.0,2427.0,2.0,LOSS,2221.0,-3.0131004366812224,STOP_LOSS,0.7949931081233759,Sideways
2026-03-03,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - AKUMULASI,A,80,NonReg 17.2% | Avg Rp27jt | Asing: NET BUY,3450.0,3346.0,3554.0,3657.0,2.0,LOSS,3346.0,-3.0144927536231885,STOP_LOSS,1.3453380193448166,Trending Down
2026-03-03,CBDK,Bangun Kosambi Sukses Tbk.,BUY - AKUMULASI,B,46,NonReg 814.9% | Avg Rp10jt,5300.0,5141.0,5459.0,5618.0,2.0,LOSS,5141.0,-3.0,STOP_LOSS,0.8156851890787055,Trending Down
2026-03-03,CUAN,Petrindo Jaya Kreasi Tbk.,BUY - AKUMULASI,B,45,NonReg 8.3% | Avg Rp8jt | Asing: NET BUY,1450.0,1406.0,1494.0,1537.0,2.0,LOSS,1406.0,-3.0344827586206895,STOP_LOSS,0.7168614524551509,Trending Down
2026-03-03,PANI,Pantai Indah Kapuk Dua Tbk.,BUY - AKUMULASI,B,57,NonReg 1263.0% | Avg Rp10jt | Asing: NET BUY,8825.0,8560.0,9090.0,9354.0,2.0,LOSS,8560.0,-3.002832861189802,STOP_LOSS,1.1528028279104494,Trending Down
2026-03-03,ICBP,Indofood CBP Sukses Makmur Tbk.,BUY - AKUMULASI,B,45,NonReg 76.6% | Avg Rp9jt,7700.0,7469.0,7931.0,8162.0,2.0,LOSS,7469.0,-3.0,STOP_LOSS,0.6026054554871382,Trending Down
2026-03-03,ATAP,Trimitra Prawara Goldland Tbk.,BUY - AKUMULASI,C,42,NonReg 10.7% | Avg Rp6jt | Asing: NET BUY,810.0,786.0,834.0,859.0,2.0,WIN,834.0,2.9629629629629632,TARGET1,0.6585886780428087,Trending Down
2026-03-03,ENRG,Energi Mega Persada Tbk.,BUY - AKUMULASI,B,59,NonReg 5.1% | Avg Rp11jt | Asing: NET BUY,2130.0,2066.0,2194.0,2258.0,2.0,WIN,2258.0,6.009389671361502,TARGET2,1.3693954950632026,Trending Up
2026-03-03,INDF,Indofood Sukses Makmur Tbk.,BUY - AKUMULASI,C,33,NonReg 4.1% | Avg Rp10jt | Asing: NET BUY,6400.0,6208.0,6592.0,6784.0,2.0,LOSS,6208.0,-3.0,STOP_LOSS,0.29532128359423987,Trending Down
2026-03-04,UANG,Pakuan Tbk.,BUY - AKUMULASI,B,51,NonReg 199.3% | Avg Rp5jt,4120.0,3996.0,4244.0,4367.0,2.0,WIN,4367.0,5.995145631067961,TARGET2,1.0363486162742668,Sideways
2026-03-04,AUTO,Astra Otoparts Tbk.,BUY - AKUMULASI,B,66,NonReg 18.8% | Avg Rp9jt | Asing: NET BUY,2750.0,2668.0,2832.0,2915.0,2.0,WIN,2780.0,1.090909090909091,CLOSE,1.339225147449488,Trending Up
2026-03-04,ASII,Astra International Tbk.,BUY - AKUMULASI,B,60,NonReg 6.7% | Avg Rp14jt | Asing: NET BUY,6150.0,5966.0,6334.0,6519.0,2.0,WIN,6334.0,2.991869918699187,TARGET1,1.0680480187408161,Trending Down
2026-03-04,ICBP,Indofood CBP Sukses Makmur Tbk.,BUY - AKUMULASI,A,71,NonReg 7.9% | Avg Rp13jt | Asing: NET BUY,7475.0,7251.0,7699.0,7924.0,2.0,WIN,7475.0,0.0,CLOSE,1.5922431633290126,Trending Down
2026-03-04,NISP,Bank OCBC NISP Tbk.,BUY - AKUMULASI,B,53,NonReg 45.7% | Avg Rp7jt,1480.0,1436.0,1524.0,1569.0,2.0,WIN,1495.0,1.0135135135135136,CLOSE,0.9743657447136224,Trending Down
