StockCode,SignalType,EntryDate,EntryPrice,StopLoss,Target1,Target2,ExitDate,Outcome,Return%,MaxProfit%,DaysToTarget,HitT1,HitT2,HitSL
MAPA,BUY - REVERSAL,2025-09-01,610.0,592.0,628.0,640.0,2025-09-02,WIN-T1,2.95,3.28,1,True,False,False
MSIN,BUY - MOMENTUM,2025-09-01,510.0,495.0,525.0,536.0,2025-09-02,WIN-T2,5.1,5.88,1,True,True,False
