Date,StockCode,StockName,EntrySignal,SignalStrength,EntryPrice,StopLoss,Target1,Target2,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2026-02-12,SINI,Singaraja Putra Tbk.,BUY - RISKY BOUNCE,70,14950.0,14202.0,15324.0,15548.0,LOSS,14202.0,-5.003344481605351,STOP_LOSS,1.0,Unknown
2026-03-06,ASLI,Asri Karya Lestari Tbk.,BUY - RISKY BOUNCE,69,356.0,338.0,365.0,370.0,NO_DATA,356.0,0.0,NO_NEXT_DAY,1.0,Unknown
2026-02-23,KLBF,Kalbe Farma Tbk.,BUY - MOMENTUM,92,1080.0,1037.0,1112.0,1134.0,WIN,1134.0,5.0,TARGET2,3.292616204196229,Sideways
2026-02-23,MDKA,Merdeka Copper Gold Tbk.,BUY - MOMENTUM,84,3740.0,3590.0,3852.0,3927.0,WIN,3927.0,5.0,TARGET2,1.7223749096962653,Trending Up
2026-02-23,TRIN,Perintis Triniti Properti Tbk.,BUY - BREAKOUT,100,1175.0,1160.0,1186.0,1197.0,LOSS,1160.0,-1.276595744680851,STOP_LOSS,4.387481842899177,Sideways
2026-02-27,GGRM,Gudang Garam Tbk.,BUY - RISKY BOUNCE,70,17300.0,16435.0,17732.0,17992.0,WIN,17992.0,4.0,TARGET2,2.3651692982525843,Trending Down
2026-03-02,ITMG,Indo Tambangraya Megah Tbk.,BUY - MOMENTUM,98,23500.0,22560.0,24205.0,24675.0,WIN,24675.0,5.0,TARGET2,2.43335621234496,Trending Up
2026-03-02,PTBA,Bukit Asam (Persero) Tbk.,BUY - MOMENTUM,100,2750.0,2640.0,2832.0,2888.0,WIN,2888.0,5.0181818181818185,TARGET2,7.088572270133643,Trending Up
2026-03-03,ISAT,Indosat Tbk.,BUY - MOMENTUM,100,2290.0,2198.0,2359.0,2404.0,WIN,2404.0,4.978165938864628,TARGET2,3.91320141924433,Sideways
