Date,StockCode,StockName,EntrySignal,SignalStrength,EntryPrice,StopLoss,Target1,Target2,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2026-02-27,ENRG,Energi Mega Persada Tbk.,BUY - RISKY BOUNCE,69,1760.0,1672.0,1804.0,1830.0,LOSS,1672.0,-5.0,STOP_LOSS,1.0,Unknown
2026-02-27,GGRM,Gudang Garam Tbk.,BUY - RISKY BOUNCE,70,17300.0,16435.0,17732.0,17992.0,WIN,17992.0,4.0,TARGET2,1.0,Unknown
2026-02-27,NSSS,Nusantara Sawit Sejahtera Tbk.,BUY - RISKY BOUNCE,70,1115.0,1059.0,1143.0,1160.0,NO_DATA,1115.0,0.0,NO_NEXT_DAY,1.0,Unknown
2026-02-27,RATU,Raharja Energi Cepu Tbk.,BUY - RISKY BOUNCE,70,7200.0,6840.0,7380.0,7488.0,NO_DATA,7200.0,0.0,NO_NEXT_DAY,1.0,Unknown
2026-02-27,TIRT,Tirta Mahakam Resources Tbk,BUY - RISKY BOUNCE,70,1000.0,950.0,1025.0,1040.0,LOSS,950.0,-5.0,STOP_LOSS,1.0,Unknown
2026-02-27,VKTR,VKTR Teknologi Mobilitas Tbk.,BUY - RISKY BOUNCE,70,945.0,898.0,969.0,983.0,NO_DATA,945.0,0.0,NO_NEXT_DAY,1.0,Unknown
2026-03-02,PTBA,Bukit Asam (Persero) Tbk.,BUY - RISKY BOUNCE,70,2750.0,2612.0,2819.0,2860.0,WIN,2860.0,4.0,TARGET2,1.0,Unknown
