Date,StockCode,StockName,EntrySignal,SignalGrade,SignalStrength,SignalReason,EntryPrice,StopLoss,Target1,Target2,RiskReward,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2025-12-08,MDKA,Merdeka Copper Gold Tbk.,BUY - AKUMULASI,A,76,NonReg 85.2% | Avg Rp12jt | Asing: NET BUY | Bullish Marubozu + EMA5 Breakout,2330.0,2260.0,2400.0,2470.0,2.0,LOSS,2260.0,-3.004291845493562,STOP_LOSS,1.4271480484758214,Trending Down
2025-12-08,INKP,Indah Kiat Pulp & Paper Tbk.,BUY - AKUMULASI,A,80,NonReg 330.6% | Avg Rp16jt | Asing: NET BUY | Above MA Stack + EMA5 Breakout,8800.0,8536.0,9064.0,9328.0,2.0,LOSS,8536.0,-3.0,STOP_LOSS,1.3332108397406905,Trending Up
2025-12-08,PTRO,Petrosea Tbk.,BUY - AKUMULASI,B,65,NonReg 12.8% | Avg Rp27jt | Asing: NET BUY | Bullish Pin Bar + Above MA Stack,10775.0,10452.0,11098.0,11422.0,2.0,LOSS,10452.0,-2.997679814385151,STOP_LOSS,0.8285025241349168,Trending Up
2025-12-08,CASA,Capital Financial Indonesia Tbk.,BUY - AKUMULASI,B,53,NonReg 228.8% | Avg Rp7jt | Asing: NET BUY | Above MA Stack,1665.0,1615.0,1715.0,1765.0,2.0,LOSS,1615.0,-3.003003003003003,STOP_LOSS,1.0318169274639466,Sideways
2025-12-08,RATU,Raharja Energi Cepu Tbk.,BUY - AKUMULASI,B,59,NonReg 59.0% | Avg Rp26jt,11625.0,11276.0,11974.0,12322.0,2.0,LOSS,11276.0,-3.0021505376344084,STOP_LOSS,0.5746328541389383,Sideways
2025-12-08,CMRY,Cisarua Mountain Dairy Tbk.,BUY - AKUMULASI,B,51,NonReg 28.6% | Avg Rp8jt | EMA5 Breakout + Bullish Engulfing,5850.0,5674.0,6026.0,6201.0,2.0,LOSS,5800.0,-0.8547008547008548,CLOSE,0.5785198761873617,Trending Down
2025-12-08,AVIA,Avia Avian Tbk.,BUY - AKUMULASI,B,46,NonReg 13.8% | Avg Rp6jt | Asing: NET BUY | EMA5 Breakout,472.0,458.0,486.0,500.0,2.0,WIN,486.0,2.9661016949152543,TARGET1,0.9909198595655158,Sideways
2025-12-08,NICL,PAM Mineral Tbk.,BUY - AKUMULASI,A,86,NonReg 38.7% | Avg Rp33jt | Asing: NET BUY | Golden Cross (EMA5/10) + Above MA Stack,1080.0,1048.0,1112.0,1145.0,2.0,LOSS,1065.0,-1.3888888888888888,CLOSE,1.5809976435964486,Trending Up
2025-12-08,BBHI,Allo Bank Indonesia Tbk.,BUY - AKUMULASI,B,64,NonReg 257.4% | Avg Rp8jt | Asing: NET BUY | EMA5 Breakout,1490.0,1445.0,1535.0,1579.0,2.0,WIN,1495.0,0.33557046979865773,CLOSE,1.289022928897258,Sideways
2025-12-08,RSCH,Charlie Hospital Semarang Tbk.,BUY - AKUMULASI,B,51,NonReg 155.6% | Avg Rp8jt | Asing: NET BUY | Inverted Hammer + EMA5 Breakout,396.0,384.0,408.0,420.0,2.0,WIN,420.0,6.0606060606060606,TARGET2,0.8016461931782752,Trending Down
2025-12-08,OASA,Maharaksa Biru Energi Tbk.,BUY - BREAKOUT,B,67,Naik +3.6% | Vol 2.9x | Fase: Trending Down | Volume Surge 2x + EMA5 Breakout,232.0,223.0,241.0,248.0,1.77,LOSS,226.0,-2.586206896551724,CLOSE,2.9339919418129035,Trending Down
2025-12-08,BBNI,Bank Negara Indonesia (Persero) Tbk.,BUY - AKUMULASI,A,70,NonReg 24.6% | Avg Rp22jt | Inverted Hammer + EMA5 Breakout,4310.0,4181.0,4439.0,4569.0,2.0,WIN,4320.0,0.23201856148491878,CLOSE,0.9252680224235746,Trending Down
2025-12-08,BBCA,Bank Central Asia Tbk.,BUY - AKUMULASI,B,59,NonReg 56.2% | Avg Rp25jt | Asing: NET BUY,8300.0,8051.0,8549.0,8798.0,2.0,LOSS,8100.0,-2.4096385542168677,CLOSE,0.7743906787110127,Trending Down
2025-12-08,SMIL,Sarana Mitra Luas Tbk.,BUY - AKUMULASI,B,50,NonReg 14.8% | Avg Rp8jt | Asing: NET BUY | Bullish Pin Bar,410.0,398.0,422.0,435.0,2.0,WIN,414.0,0.975609756097561,CLOSE,0.3382443075647927,Trending Down
2025-12-08,ICBP,Indofood CBP Sukses Makmur Tbk.,BUY - AKUMULASI,B,60,NonReg 27.0% | Avg Rp22jt | Inverted Hammer + Tweezer Bottom,8075.0,7833.0,8317.0,8560.0,2.0,LOSS,8000.0,-0.9287925696594427,CLOSE,0.7055122302419428,Trending Down
2025-12-08,BULL,Buana Lintas Lautan Tbk.,BUY - MOMENTUM,B,61,Naik +0.6% | Vol 1.8x | Fase: Trending Up | Above MA Stack,322.0,309.0,332.0,331.0,0.72,LOSS,312.0,-3.1055900621118013,CLOSE,1.81496995403492,Trending Up
2025-12-09,CDIA,Chandra Daya Investasi Tbk.,BUY - AKUMULASI,B,45,NonReg 89.3% | Avg Rp8jt | Asing: NET BUY,1905.0,1848.0,1962.0,2019.0,2.0,LOSS,1885.0,-1.0498687664041995,CLOSE,0.6136144697149287,Trending Up
2025-12-09,IMPC,Impack Pratama Industri Tbk.,BUY - AKUMULASI,C,44,NonReg 189.0% | Avg Rp12jt | Asing: NET BUY | Above MA Stack,3740.0,3628.0,3852.0,3964.0,2.0,LOSS,3670.0,-1.8716577540106951,CLOSE,0.6953461637087421,Trending Up
2025-12-09,NCKL,Trimegah Bangun Persada Tbk.,BUY - AKUMULASI,B,49,NonReg 17.3% | Avg Rp7jt | Asing: NET BUY | Bullish Pin Bar,1020.0,989.0,1051.0,1081.0,2.0,WIN,1020.0,0.0,CLOSE,0.7565316501274452,Sideways
2025-12-09,MYOR,Mayora Indah Tbk.,BUY - AKUMULASI,B,56,NonReg 21.4% | Avg Rp6jt | Asing: NET BUY | Volume Surge 2x + Golden Cross (EMA5/10),2180.0,2115.0,2245.0,2311.0,2.0,WIN,2200.0,0.9174311926605505,CLOSE,2.1667577962529383,Sideways
2025-12-09,ISAT,Indosat Tbk.,BUY - AKUMULASI,B,45,NonReg 14.7% | Avg Rp8jt | Golden Cross (EMA5/10) + Above MA Stack,2400.0,2328.0,2472.0,2544.0,2.0,WIN,2472.0,3.0,TARGET1,0.8788753047153259,Trending Up
2025-12-09,UNVR,Unilever Indonesia Tbk.,BUY - AKUMULASI,B,68,NonReg 37.7% | Avg Rp11jt | Asing: NET BUY,2670.0,2590.0,2750.0,2830.0,2.0,WIN,2750.0,2.9962546816479403,TARGET1,1.2833987110435716,Trending Up
2025-12-09,NICL,PAM Mineral Tbk.,BUY - AKUMULASI,A,74,NonReg 13.7% | Avg Rp22jt | Golden Cross (EMA5/10),1065.0,1033.0,1097.0,1129.0,2.0,WIN,1080.0,1.4084507042253522,CLOSE,1.3582094897045658,Trending Up
2025-12-09,MAPI,Mitra Adiperkasa Tbk.,BUY - REVERSAL,B,55,Dip -2.5% | Pos 0/100 | Vol 1.2x,1185.0,1141.0,1221.0,1256.0,1.62,WIN,1190.0,0.42194092827004215,CLOSE,1.1538015139334254,Sideways
2025-12-09,PADI,Minna Padi Investama Sekuritas Tbk.,BUY - AKUMULASI,B,50,NonReg 42.4% | Avg Rp5jt | Asing: NET BUY | Above MA Stack,154.0,149.0,159.0,163.0,2.0,LOSS,149.0,-3.2467532467532463,STOP_LOSS,1.1222220500622135,Trending Up
2025-12-09,PYFA,Pyridam Farma Tbk,BUY - AKUMULASI,C,44,NonReg 85.6% | Avg Rp7jt | Asing: NET BUY,535.0,519.0,551.0,567.0,2.0,LOSS,519.0,-2.990654205607477,STOP_LOSS,0.9290361062413721,Trending Down
2025-12-09,BHAT,Bhakti Multi Artha Tbk.,BUY - AKUMULASI,B,64,NonReg 109.3% | Avg Rp11jt | Inverted Hammer,1530.0,1484.0,1576.0,1622.0,2.0,WIN,1576.0,3.0065359477124183,TARGET1,1.0717317968252862,Trending Down
2025-12-09,ASII,Astra International Tbk.,BUY - AKUMULASI,B,50,NonReg 6.7% | Avg Rp18jt | Asing: NET BUY,6600.0,6402.0,6798.0,6996.0,2.0,WIN,6625.0,0.3787878787878788,CLOSE,0.8979457685017836,Trending Up
2025-12-09,BLUE,Berkah Prima Perkasa Tbk.,BUY - AKUMULASI,C,43,NonReg 11.3% | Avg Rp7jt | Above MA Stack,3520.0,3414.0,3626.0,3731.0,2.0,LOSS,3414.0,-3.0113636363636362,STOP_LOSS,0.7580585705508909,Trending Up
2025-12-09,BULL,Buana Lintas Lautan Tbk.,BUY - AKUMULASI,C,38,NonReg 9.4% | Avg Rp8jt | Asing: NET BUY,312.0,303.0,321.0,331.0,2.0,WIN,331.0,6.089743589743589,TARGET2,0.5871131062966338,Trending Up
2025-12-09,BANK,Bank Aladin Syariah Tbk.,BUY - AKUMULASI,C,41,NonReg 54.4% | Avg Rp6jt | Asing: NET BUY | Inverted Hammer,935.0,907.0,963.0,991.0,2.0,WIN,940.0,0.53475935828877,CLOSE,0.28777591031567323,Sideways
2025-12-09,KRAS,Krakatau Steel (Persero) Tbk.,BUY - REVERSAL,C,28,Dip -1.9% | Pos 68/100 | Vol 1.2x | Above MA Stack,408.0,388.0,420.0,432.0,1.25,LOSS,388.0,-4.901960784313726,STOP_LOSS,1.1939882781818207,Trending Up
2025-12-09,SMIL,Sarana Mitra Luas Tbk.,BUY - AKUMULASI,C,38,NonReg 4.9% | Avg Rp11jt | Asing: NET BUY,414.0,402.0,426.0,439.0,2.0,LOSS,406.0,-1.932367149758454,CLOSE,0.4848018874880189,Trending Down
2025-12-10,IMPC,Impack Pratama Industri Tbk.,BUY - AKUMULASI,B,48,NonReg 1182.0% | Avg Rp10jt | Asing: NET BUY | Above MA Stack,3670.0,3560.0,3780.0,3890.0,2.0,WIN,3890.0,5.994550408719346,TARGET2,0.41022822341966303,Trending Up
2025-12-10,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - AKUMULASI,B,65,NonReg 20.6% | Avg Rp16jt | Asing: NET BUY | EMA5 Breakout + Bullish Engulfing,3640.0,3531.0,3749.0,3858.0,2.0,LOSS,3531.0,-2.9945054945054945,STOP_LOSS,1.043432650109769,Sideways
