Date,StockCode,StockName,EntrySignal,SignalStrength,EntryPrice,StopLoss,Target1,Target2,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2026-01-26,ANTM,Aneka Tambang Tbk.,BUY - BREAKOUT,92,4760.0,4379.0,5056.0,5351.0,LOSS,4610.0,-3.1512605042016806,CLOSE,2.282732872586886,Trending Up
2026-01-28,KIJA,Kawasan Industri Jababeka Tbk.,BUY - RISKY BOUNCE,64,258.0,245.0,264.0,268.0,LOSS,245.0,-5.038759689922481,STOP_LOSS,1.7176673846102524,Trending Down
2026-01-29,BRMS,Bumi Resources Minerals Tbk.,BUY - RISKY BOUNCE,66,1070.0,1016.0,1097.0,1113.0,WIN,1097.0,2.5233644859813085,TARGET1,2.1364036714205525,Trending Down
2026-02-03,BOGA,Bintang Oto Global Tbk.,BUY - MOMENTUM,100,1575.0,1512.0,1622.0,1654.0,LOSS,1512.0,-4.0,STOP_LOSS,2.605814420741828,Trending Up
2026-02-11,MAPI,Mitra Adiperkasa Tbk.,BUY - BREAKOUT,100,1330.0,1259.0,1384.0,1437.0,LOSS,1295.0,-2.631578947368421,CLOSE,4.162348504066641,Sideways
2026-02-12,TINS,Timah Tbk.,BUY - BREAKOUT,97,4190.0,3855.0,4612.0,5034.0,LOSS,4050.0,-3.341288782816229,CLOSE,3.032675783100332,Trending Up
2026-02-13,SGER,Sumber Global Energy Tbk.,BUY - MOMENTUM,76,510.0,490.0,525.0,536.0,LOSS,490.0,-3.9215686274509802,STOP_LOSS,1.6383711985230012,Trending Up
2026-02-19,AADI,Adaro Andalan Indonesia Tbk.,BUY - BREAKOUT,92,9550.0,8929.0,10016.0,10482.0,LOSS,9325.0,-2.356020942408377,CLOSE,2.080503606306249,Trending Up
2026-02-19,BIPI,Astrindo Nusantara Infrastruktur Tbk.,BUY - BREAKOUT,100,244.0,224.0,283.0,321.0,LOSS,228.0,-6.557377049180328,CLOSE,2.4488579930577594,Trending Up
2026-02-19,MBMA,Merdeka Battery Materials Tbk.,BUY - BREAKOUT,98,905.0,833.0,980.0,1055.0,LOSS,855.0,-5.524861878453039,CLOSE,5.263231055450167,Trending Up
2026-02-27,UNVR,Unilever Indonesia Tbk.,BUY - BREAKOUT,97,2380.0,2234.0,2489.0,2599.0,LOSS,2250.0,-5.46218487394958,CLOSE,3.6235434821558847,Trending Up
2026-03-02,ITMG,Indo Tambangraya Megah Tbk.,BUY - BREAKOUT,100,23500.0,22936.0,23923.0,24346.0,WIN,24346.0,3.5999999999999996,TARGET2,3.6763381166858697,Sideways
